Velocity,Acceleration,Road Grade,Fuel Rate,Infeasible
0,4,-0.03,2.37052538472707,1
0,4,-0.027,2.37052538472707,1
0,4,-0.024,2.37052538472707,1
0,4,-0.021,2.37052538472707,1
0,4,-0.018,2.37052538472707,1
0,4,-0.015,2.37052538472707,1
0,4,-0.012,2.37052538472707,1
0,4,-0.009,2.37052538472707,1
0,4,-0.006,2.37052538472707,1
0,4,-0.003,2.37052538472707,1
0,4,0,2.37052538472707,1
0,4,0.003,2.37052538472707,1
0,4,0.006,2.37052538472707,1
0,4,0.009,2.37052538472707,1
0,4,0.012,2.37052538472707,1
0,4,0.015,2.37052538472707,1
0,4,0.018,2.37052538472707,1
0,4,0.021,2.37052538472707,1
0,4,0.024,2.37052538472707,1
0,4,0.027,2.37052538472707,1
0,4,0.03,2.37052538472707,1
0,3.92,-0.03,2.33744445926256,1
0,3.92,-0.027,2.33744445926256,1
0,3.92,-0.024,2.33744445926256,1
0,3.92,-0.021,2.33744445926256,1
0,3.92,-0.018,2.33744445926256,1
0,3.92,-0.015,2.33744445926256,1
0,3.92,-0.012,2.33744445926256,1
0,3.92,-0.009,2.33744445926256,1
0,3.92,-0.006,2.33744445926256,1
0,3.92,-0.003,2.33744445926256,1
0,3.92,0,2.33744445926256,1
0,3.92,0.003,2.33744445926256,1
0,3.92,0.006,2.33744445926256,1
0,3.92,0.009,2.33744445926256,1
0,3.92,0.012,2.33744445926256,1
0,3.92,0.015,2.33744445926256,1
0,3.92,0.018,2.33744445926256,1
0,3.92,0.021,2.33744445926256,1
0,3.92,0.024,2.33744445926256,1
0,3.92,0.027,2.33744445926256,1
0,3.92,0.03,2.33744445926256,1
0,3.84,-0.03,2.30461126786027,1
0,3.84,-0.027,2.30461126786027,1
0,3.84,-0.024,2.30461126786027,1
0,3.84,-0.021,2.30461126786027,1
0,3.84,-0.018,2.30461126786027,1
0,3.84,-0.015,2.30461126786027,1
0,3.84,-0.012,2.30461126786027,1
0,3.84,-0.009,2.30461126786027,1
0,3.84,-0.006,2.30461126786027,1
0,3.84,-0.003,2.30461126786027,1
0,3.84,0,2.30461126786027,1
0,3.84,0.003,2.30461126786027,1
0,3.84,0.006,2.30461126786027,1
0,3.84,0.009,2.30461126786027,1
0,3.84,0.012,2.30461126786027,1
0,3.84,0.015,2.30461126786027,1
0,3.84,0.018,2.30461126786027,1
0,3.84,0.021,2.30461126786027,1
0,3.84,0.024,2.30461126786027,1
0,3.84,0.027,2.30461126786027,1
0,3.84,0.03,2.30461126786027,1
0,3.76,-0.03,2.27202104735741,1
0,3.76,-0.027,2.27202104735741,1
0,3.76,-0.024,2.27202104735741,1
0,3.76,-0.021,2.27202104735741,1
0,3.76,-0.018,2.27202104735741,1
0,3.76,-0.015,2.27202104735741,1
0,3.76,-0.012,2.27202104735741,1
0,3.76,-0.009,2.27202104735741,1
0,3.76,-0.006,2.27202104735741,1
0,3.76,-0.003,2.27202104735741,1
0,3.76,0,2.27202104735741,1
0,3.76,0.003,2.27202104735741,1
0,3.76,0.006,2.27202104735741,1
0,3.76,0.009,2.27202104735741,1
0,3.76,0.012,2.27202104735741,1
0,3.76,0.015,2.27202104735741,1
0,3.76,0.018,2.27202104735741,1
0,3.76,0.021,2.27202104735741,1
0,3.76,0.024,2.27202104735741,1
0,3.76,0.027,2.27202104735741,1
0,3.76,0.03,2.27202104735741,1
0,3.68,-0.03,2.23966903459117,1
0,3.68,-0.027,2.23966903459117,1
0,3.68,-0.024,2.23966903459117,1
0,3.68,-0.021,2.23966903459117,1
0,3.68,-0.018,2.23966903459117,1
0,3.68,-0.015,2.23966903459117,1
0,3.68,-0.012,2.23966903459117,1
0,3.68,-0.009,2.23966903459117,1
0,3.68,-0.006,2.23966903459117,1
0,3.68,-0.003,2.23966903459117,1
0,3.68,0,2.23966903459117,1
0,3.68,0.003,2.23966903459117,1
0,3.68,0.006,2.23966903459117,1
0,3.68,0.009,2.23966903459117,1
0,3.68,0.012,2.23966903459117,1
0,3.68,0.015,2.23966903459117,1
0,3.68,0.018,2.23966903459117,1
0,3.68,0.021,2.23966903459117,1
0,3.68,0.024,2.23966903459117,1
0,3.68,0.027,2.23966903459117,1
0,3.68,0.03,2.23966903459117,1
0,3.6,-0.03,2.20755046639875,1
0,3.6,-0.027,2.20755046639875,1
0,3.6,-0.024,2.20755046639875,1
0,3.6,-0.021,2.20755046639875,1
0,3.6,-0.018,2.20755046639875,1
0,3.6,-0.015,2.20755046639875,1
0,3.6,-0.012,2.20755046639875,1
0,3.6,-0.009,2.20755046639875,1
0,3.6,-0.006,2.20755046639875,1
0,3.6,-0.003,2.20755046639875,1
0,3.6,0,2.20755046639875,1
0,3.6,0.003,2.20755046639875,1
0,3.6,0.006,2.20755046639875,1
0,3.6,0.009,2.20755046639875,1
0,3.6,0.012,2.20755046639875,1
0,3.6,0.015,2.20755046639875,1
0,3.6,0.018,2.20755046639875,1
0,3.6,0.021,2.20755046639875,1
0,3.6,0.024,2.20755046639875,1
0,3.6,0.027,2.20755046639875,1
0,3.6,0.03,2.20755046639875,1
0,3.52,-0.03,2.17566057961735,1
0,3.52,-0.027,2.17566057961735,1
0,3.52,-0.024,2.17566057961735,1
0,3.52,-0.021,2.17566057961735,1
0,3.52,-0.018,2.17566057961735,1
0,3.52,-0.015,2.17566057961735,1
0,3.52,-0.012,2.17566057961735,1
0,3.52,-0.009,2.17566057961735,1
0,3.52,-0.006,2.17566057961735,1
0,3.52,-0.003,2.17566057961735,1
0,3.52,0,2.17566057961735,1
0,3.52,0.003,2.17566057961735,1
0,3.52,0.006,2.17566057961735,1
0,3.52,0.009,2.17566057961735,1
0,3.52,0.012,2.17566057961735,1
0,3.52,0.015,2.17566057961735,1
0,3.52,0.018,2.17566057961735,1
0,3.52,0.021,2.17566057961735,1
0,3.52,0.024,2.17566057961735,1
0,3.52,0.027,2.17566057961735,1
0,3.52,0.03,2.17566057961735,1
0,3.44,-0.03,2.14399461108416,1
0,3.44,-0.027,2.14399461108416,1
0,3.44,-0.024,2.14399461108416,1
0,3.44,-0.021,2.14399461108416,1
0,3.44,-0.018,2.14399461108416,1
0,3.44,-0.015,2.14399461108416,1
0,3.44,-0.012,2.14399461108416,1
0,3.44,-0.009,2.14399461108416,1
0,3.44,-0.006,2.14399461108416,1
0,3.44,-0.003,2.14399461108416,1
0,3.44,0,2.14399461108416,1
0,3.44,0.003,2.14399461108416,1
0,3.44,0.006,2.14399461108416,1
0,3.44,0.009,2.14399461108416,1
0,3.44,0.012,2.14399461108416,1
0,3.44,0.015,2.14399461108416,1
0,3.44,0.018,2.14399461108416,1
0,3.44,0.021,2.14399461108416,1
0,3.44,0.024,2.14399461108416,1
0,3.44,0.027,2.14399461108416,1
0,3.44,0.03,2.14399461108416,1
0,3.36,-0.03,2.11254779763637,1
0,3.36,-0.027,2.11254779763637,1
0,3.36,-0.024,2.11254779763637,1
0,3.36,-0.021,2.11254779763637,1
0,3.36,-0.018,2.11254779763637,1
0,3.36,-0.015,2.11254779763637,1
0,3.36,-0.012,2.11254779763637,1
0,3.36,-0.009,2.11254779763637,1
0,3.36,-0.006,2.11254779763637,1
0,3.36,-0.003,2.11254779763637,1
0,3.36,0,2.11254779763637,1
0,3.36,0.003,2.11254779763637,1
0,3.36,0.006,2.11254779763637,1
0,3.36,0.009,2.11254779763637,1
0,3.36,0.012,2.11254779763637,1
0,3.36,0.015,2.11254779763637,1
0,3.36,0.018,2.11254779763637,1
0,3.36,0.021,2.11254779763637,1
0,3.36,0.024,2.11254779763637,1
0,3.36,0.027,2.11254779763637,1
0,3.36,0.03,2.11254779763637,1
0,3.28,-0.03,2.08131537611119,1
0,3.28,-0.027,2.08131537611119,1
0,3.28,-0.024,2.08131537611119,1
0,3.28,-0.021,2.08131537611119,1
0,3.28,-0.018,2.08131537611119,1
0,3.28,-0.015,2.08131537611119,1
0,3.28,-0.012,2.08131537611119,1
0,3.28,-0.009,2.08131537611119,1
0,3.28,-0.006,2.08131537611119,1
0,3.28,-0.003,2.08131537611119,1
0,3.28,0,2.08131537611119,1
0,3.28,0.003,2.08131537611119,1
0,3.28,0.006,2.08131537611119,1
0,3.28,0.009,2.08131537611119,1
0,3.28,0.012,2.08131537611119,1
0,3.28,0.015,2.08131537611119,1
0,3.28,0.018,2.08131537611119,1
0,3.28,0.021,2.08131537611119,1
0,3.28,0.024,2.08131537611119,1
0,3.28,0.027,2.08131537611119,1
0,3.28,0.03,2.08131537611119,1
0,3.2,-0.03,2.05029258334581,1
